,id,participant,condition,mental-demand,physical-demand,temporal-demand,performance,effort,frustration,total,time
0,1.0,HectorVR-5,Handle,70.0,35.0,75.0,55.0,40.0,75.0,58.33333,2021-07-11 15:56:08
1,2.0,HectorVR-5,Lab,25.0,10.0,40.0,25.0,25.0,25.0,25.0,2021-07-11 16:10:33
2,3.0,HectorVR-5,Remote,10.0,15.0,15.0,15.0,20.0,20.0,15.83333,2021-07-11 16:26:22
3,4.0,HectorVR-5,UI,10.0,10.0,10.0,5.0,10.0,10.0,9.16667,2021-07-11 16:45:25
4,1.0,HectorVR-7,Remote,15.0,45.0,35.0,40.0,15.0,5.0,25.83333,2021-07-13 15:14:02
5,2.0,HectorVR-7,UI,5.0,15.0,15.0,20.0,10.0,20.0,14.16667,2021-07-13 15:27:23
6,3.0,HectorVR-7,Handle,80.0,65.0,75.0,65.0,80.0,75.0,73.33333,2021-07-13 15:53:35
7,4.0,HectorVR-7,Lab,85.0,85.0,70.0,55.0,85.0,85.0,77.5,2021-07-13 15:55:27
8,2.0,HectorVR-13,Lab,70.0,90.0,100.0,75.0,75.0,75.0,80.83333,2021/7/18 14:35
9,3.0,HectorVR-13,Remote,30.0,60.0,20.0,5.0,20.0,10.0,24.16667,2021/7/18 15:51
10,4.0,HectorVR-13,UI,15.0,5.0,80.0,15.0,15.0,15.0,24.16667,2021/7/18 16:01
11,1.0,HectorVR-13,Handle,80.0,85.0,80.0,55.0,40.0,65.0,67.5,2021/7/18 15:37
12,,,,,,,,,,,
13,1.0,HectorVR-11,Remote,40.0,55.0,55.0,70.0,75.0,60.0,59.16667,2021-07-17 17:07:51
14,2.0,HectorVR-11,UI,25.0,40.0,25.0,75.0,70.0,30.0,44.16667,2021-07-17 17:21:37
15,3.0,HectorVR-11,Handle,60.0,60.0,65.0,45.0,70.0,60.0,60.0,2021-07-17 18:20:52
16,4.0,HectorVR-11,Lab,80.0,90.0,85.0,15.0,90.0,70.0,71.66667,2021-07-17 18:38:16
17,1.0,HectorVR-10,Lab,65.0,25.0,5.0,35.0,80.0,5.0,35.83333,2021-07-17 16:07:20
18,2.0,HectorVR-10,Remote,25.0,20.0,5.0,80.0,35.0,5.0,28.33333,2021-07-17 16:08:30
19,3.0,HectorVR-10,UI,25.0,15.0,35.0,100.0,65.0,5.0,40.83333,2021-07-17 16:16:49
20,4.0,HectorVR-10,Handle,70.0,50.0,15.0,85.0,55.0,15.0,48.33333,2021-07-17 16:28:57
21,1.0,HectorVR-12,UI,5.0,55.0,70.0,5.0,35.0,15.0,30.83333,2021-07-18 14:15:16
22,2.0,HectorVR-12,Handle,80.0,80.0,85.0,40.0,80.0,35.0,66.66667,2021-07-18 14:44:48
23,3.0,HectorVR-12,Lab,90.0,100.0,90.0,80.0,80.0,80.0,86.66667,2021-07-18 14:58:27
24,4.0,HectorVR-12,Remote,15.0,25.0,50.0,15.0,25.0,25.0,25.83333,2021-07-18 15:27:48
25,1.0,HectorVR-8,UI,5.0,10.0,10.0,10.0,25.0,15.0,12.5,2021-07-17 14:17:06
26,2.0,HectorVR-8,Handle,60.0,30.0,65.0,30.0,50.0,30.0,44.16667,2021-07-17 14:18:10
27,3.0,HectorVR-8,Lab,50.0,80.0,60.0,35.0,90.0,60.0,62.5,2021-07-17 14:31:46
28,1.0,HectorVR-9,Handle,85.0,15.0,15.0,25.0,75.0,25.0,40.0,2021-07-17 15:08:11
29,2.0,HectorVR-9,Lab,25.0,45.0,65.0,75.0,75.0,35.0,53.33333,2021-07-17 15:23:08
30,3.0,HectorVR-9,Remote,15.0,15.0,35.0,90.0,25.0,15.0,32.5,2021-07-17 15:34:13
31,4.0,HectorVR-9,UI,35.0,45.0,35.0,65.0,55.0,65.0,50.0,2021-07-17 15:45:15
